Subject_Mu,centerPsySigma20,centerCSDSigma20,centerPsySigma100,centerCSDSigma100,peripheryPsySigma20,peripheryCSDSigma20,peripheryPsySigma100,peripheryCSDSigma100
26,0.454881935,0.503379229,0.408016884,0.464155655,0.850188622,0.567129847,0.356914983,0.496688668
27,0.005029994,0.005029994,0.224485035,0.23635454,0.108152569,0.173303621,0.379960927,0.397070576
28,0.857206932,0.91806144,0.669004234,0.60098537,0.97661959,1.423826536,0.517234437,0.714167249
29,0.802911215,0.790463371,0.410288316,0.546440777,0.009473261,0.009473261,0.527650971,0.595434314
30,0.004878149,0.004878149,0.42258639,0.385807864,0.284355734,0.416975701,0.327675868,0.436810586
31,0.16622357,0.154905907,0.252940096,0.274328823,0.018590841,0.018590841,0.404570535,0.589473747
32,0.386338553,0.393073068,0.237798619,0.321094554,0.051631902,0.381290586,0.354261505,0.368267639
33,1.135836504,0.747825942,0.451986342,0.505768971,0.715820471,0.612170601,0.604813055,0.629077391
34,0.586019604,0.627749784,0.016595134,0.016595134,0.739445418,0.82510298,1.009170953,0.884595796
35,0.045794263,0.045794263,0.101503176,0.101503176,0.415035132,0.290204205,0.646386336,0.842629569
36,0.250129813,0.435932309,0.301976181,0.384298934,0.262183815,0.338560706,0.293686629,0.386269867
37,0.010746131,0.010746131,0.447044981,0.465480286,0.167404177,0.328454696,0.480530973,0.52713287
38,0.640539037,0.66248295,0.251987322,0.447976323,0.750211086,0.778245918,0.268663287,0.580915854
39,0.465393486,0.299441104,0.273968982,0.325742885,0.36335223,0.386099408,0.24378159,0.283679704
40,0.821822871,0.855334727,1.063426849,1.218229876,1.104906821,1.434021267,1.500395793,1.866663138
41,0.281846712,0.346505509,0.317843799,0.359729924,0.076362302,0.243327132,0.384353692,0.442650979
42,0.002349693,0.002349693,0.339629474,0.40159409,0.412204081,0.356734879,0.432318354,0.45402748
43,0.191647558,0.302989171,0.225542482,0.372259126,0.431693216,0.64875046,0.375008456,0.469994054
44,0.19779571,0.260683452,0.32274567,0.33551107,0.353581163,0.401834318,0.346319964,0.385204295
45,0.013367645,0.013367645,0.118726247,0.219913319,0.009489726,0.009489726,0.38085417,0.490173427
46,0.872173134,1.123025484,1.019142668,1.0402763,0.387991622,0.399448505,0.647663543,0.767129482
47,0.004622822,0.004622822,0.386483822,0.498283408,0.053667333,0.053667333,0.618088178,0.587393097
48,0.25533442,0.831553915,0.509581083,0.658328532,0.482332291,0.642124109,0.467737693,0.843874459
49,1.082696418,1.076543854,0.752877325,0.843023262,0.767180843,0.610967586,0.986024694,1.183387304
50,0.246212405,0.19089852,0.153594893,0.190029912,0.103709506,0.16055872,0.205799565,0.275848322
51,0.007124039,0.007124039,0.181297038,0.225480231,0.094534575,0.283094044,0.21180713,0.277777476
52,0.42757556,0.3910308,0.307171878,0.354582469,0.042411396,0.273063449,0.035463864,0.035463864
53,1.063245067,1.207934418,1.205288785,1.081811123,0.822911663,0.773684638,1.059928395,0.967004927
54,0.089719558,0.14472366,0.142523244,0.1967265,0.10728958,0.094186928,0.120690375,0.164490192
55,0.257667521,0.202625751,0.127495637,0.206385981,0.234233479,0.405165992,0.255828807,0.32509474
56,0.004844502,0.004844502,0.073061255,0.073061255,0.644771859,0.542986514,0.535254263,0.6398424
57,0.442044842,0.284891464,0.21183817,0.235963057,0.268891554,0.26092118,1.44E-01,0.192998413
58,0.057627007,0.057627007,0.472196506,0.458517201,0.722406163,0.619171756,0.410951591,0.425241932
59,0.208297821,0.327035168,0.501701496,0.432037229,0.003528266,0.003528266,0.505945387,0.532138588
60,0.240608562,0.184817258,0.159909398,0.179889616,0.292438859,0.210055915,0.220852348,0.214160005
61,0.267241208,0.232599914,0.148324898,0.22555044,0.042226285,0.042226285,0.248483415,0.306723673
62,0.236975246,0.242121173,0.204791571,0.228572421,0.045816212,0.045816212,0.250311993,0.298273923
63,0.83093384,0.77301826,0.432779486,0.501864218,0.641598296,0.732338172,0.341496546,0.517732443
64,0.173355492,0.173355492,0.317950552,0.471175045,0.765183603,0.733038539,0.91127455,0.90566325
65,0.011336091,0.011336091,0.205283969,0.257688952,0.004821431,0.004821431,0.13748416,0.17900299
66,0.177753339,0.176638315,0.30838688,0.298670377,0.459143204,0.359750183,0.262833333,0.29234468
67,0.275533582,0.228820254,0.507279209,0.531764188,0.699001671,0.634910418,0.633950235,0.915532496
68,0.273935352,0.427837781,0.271316236,0.327881438,0.168523897,0.274849993,0.329349229,0.319829903
69,0.222077174,0.205012744,0.236060558,0.251872153,0.201314307,0.239766856,0.201004205,0.229867027
70,0.424208296,0.415648861,0.402550872,0.389700312,0.234947105,0.46899403,0.194734964,0.194734964
71,0.35480694,0.311662952,0.225316975,0.336818317,0.498279882,0.366632894,0.308066485,0.32328142
72,0.038233191,0.038233191,0.234366793,0.35511371,0.126301443,0.144032448,0.250610709,0.412671353
73,0.300841668,0.337792016,0.412820347,0.54423313,0.760788546,0.61802319,0.340557535,0.512720583
74,0.339951078,0.271553729,0.404586396,0.378330739,0.101355247,0.297281582,0.314350391,0.315161108
75,0.337142212,0.431150457,0.145950853,0.293828072,0.246446884,0.265616228,0.2025003,0.251358193
76,0.006571826,0.006571826,0.260439028,0.318908509,0.30591842,0.303664401,0.198738581,0.309223812
77,0.207445614,0.238873855,0.669716349,0.682731256,0.276938376,0.366916798,0.382816536,0.554871818
78,0.009792328,0.009792328,0.274914829,0.294994219,0.235747659,0.344392998,0.287454339,0.318524916
79,0.007047801,0.007047801,0.276798341,0.286881614,0.119096263,0.335913022,0.380899542,0.503761631
80,0.380083921,0.478049707,0.256705286,0.545319321,0.426290513,0.445207172,0.315569008,0.521558043
81,0.018625006,0.018625006,0.483318074,0.634650788,0.821422051,0.847531717,0.893538102,0.983469514
82,0.932226497,0.87794937,1.354216593,1.206991068,0.627108002,0.94505775,0.639480833,0.956999773
83,0.444083021,0.334796327,0.433446892,0.415917426,0.164625395,0.789276778,0.480372954,0.640393886
84,0.000566941,0.000566941,0.288302834,0.356539214,0.00950561,0.00950561,0.866737579,0.783516376
85,0.614715266,0.771015356,0.767155284,0.752097804,0.276747897,0.586816825,0.646849657,0.807533477
86,0.009729412,0.009729412,0.381683069,0.423165876,0.297770567,0.291882408,0.609139844,0.633295044
87,0.164385624,0.24914071,0.157324979,0.283198318,0.080474034,0.080474034,0.226416273,0.595972321
88,0.009242219,0.009242219,0.186313379,0.353362702,0.041078197,0.041078197,0.154527932,0.280120821
89,0.192445557,0.359871256,0.32826865,0.323860216,0.270346194,0.213238215,0.521332506,0.51570896
90,0.523628139,0.45942514,0.338161216,0.355830665,0.002950639,0.002950639,0.02442896,0.02442896
91,0.089268671,0.089268671,0.4168336,0.397299864,0.605475103,0.475174701,0.58123927,0.567136679
92,0.372065889,0.313819283,0.283793601,0.34941254,0.485755669,0.739770129,0.324597763,0.432754205
93,0.309216219,0.250154585,0.348682285,0.334978089,0.465793981,0.515261948,0.907040296,0.911209547
94,0.263883051,0.442192032,0.447202984,0.468171966,1.309381553,0.995271817,0.765155645,0.731374471
95,0.410840366,0.313489037,0.270046427,0.321899423,0.267185073,0.526651058,0.458392148,0.546350394
96,0.227828326,0.362887802,0.359901377,0.41662655,0.817266379,0.492527649,0.431190699,0.391753467
97,0.490239824,0.415358647,0.645321504,0.611106122,0.211623438,0.541725271,0.801824789,0.656562955
98,0.009460882,0.009460882,0.381985965,0.573503196,0.277124846,0.414789456,0.337882318,0.42563188
99,0.055834944,0.055834944,0.563849127,0.600359857,0.039088555,0.039088555,0.534916272,0.548804756
100,0.263037418,0.178658545,0.340043763,0.255691458,0.322978505,0.231382464,0.524815946,0.386031264
101,0.104702178,0.104702178,0.241376382,0.292559763,0.561346387,0.513453275,0.161712512,0.380424244
102,0.608199035,0.519263091,0.449287997,0.453924517,0.650352187,0.404920499,0.298359548,0.411043382
103,0.141106714,0.194092025,0.282883995,0.282883995,0.009964697,0.009964697,0.178293951,0.287623553
104,0.804478387,0.875971753,0.126506665,0.126506665,2.315014173,1.827956422,1.176402931,1.48333733
105,0.019059154,0.019059154,0.491199423,0.537463411,0.354059906,0.523140111,0.230697256,0.358517248
